Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-28 00:00:00-05:00,6022.85,6024.4,6022.6,6023.42,3113.28,48,3,0,-2.49045326248254e-05,4.1041333075945055e-05,0.4782905982905983,0.6364342751525017,6022.675000000001,"[0.017886567771287387, 0.0039606912659448015, 0.01502154438984107]","[0.017886567771287387, 0.0039606912659448015, 0.01502154438984107]","[1, 1, 1]","[6024.2773, 6023.7886, 6022.995]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 01:00:00-05:00,6023.2,6024.8,6022.95,6023.84,3154.56,48,3,1,0.0001162308011621,4.310131850296538e-05,0.0268749999999999,0.6197340210387345,6023.375,"[-0.00731503847399261, 0.0033006544763298897, 0.004368736253475536]","[0.00731503847399261, 0.0033006544763298897, 0.004368736253475536]","[-1, 1, 1]","[6023.1094, 6023.701, 6023.987]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]"
2024-11-28 02:00:00-05:00,6023.55,6025.2,6023.3,6024.26,3195.84,48,3,2,0.0001162240467551,4.510468092083355e-05,0.0265186555658341,0.6034815452723538,6023.375,"[0.002749464632540982, 0.004052631032908661, 0.004480328569537626]","[0.002749464632540982, 0.004052631032908661, 0.004480328569537626]","[1, 1, 1]","[6023.7344, 6024.006, 6024.33]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 03:00:00-05:00,6023.9,6025.6,6023.65,6024.68,3237.12,48,3,3,0.0001162172931332,4.705297166637975e-05,0.0261716372489348,0.587664835463493,6024.075000000001,"[0.013657366580902186, 0.003916235102739371, 0.00852088243471202]","[0.013657366580902186, 0.003916235102739371, 0.00852088243471202]","[1, 1, 1]","[6025.0728, 6024.836, 6025.4634]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 04:00:00-05:00,6024.25,6026.0,6024.0,6025.1,3278.4,48,3,4,0.0001162105402958,4.894769957403699e-05,0.0258335836587564,0.5722721984277468,6024.075000000001,"[0.002343905611984799, 0.0013647675499411929, 0.018060239220450733]","[0.002343905611984799, 0.0013647675499411929, 0.018060239220450733]","[1, 1, 1]","[6024.741, 6025.032, 6026.388]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 05:00:00-05:00,6024.6,6026.4,6024.35,6025.52,3319.68,48,3,5,0.0001162037882436,5.079033214032689e-05,0.0255041518386713,0.5572922519458543,6024.7750000000015,"[0.008366900347723747, 0.02144764835360593, 0.015573073548087988]","[0.008366900347723747, 0.02144764835360593, 0.015573073548087988]","[1, 1, 1]","[6025.454, 6026.5923, 6026.5884]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 06:00:00-05:00,6024.95,6026.8,6024.7,6025.94,3360.96,48,3,6,0.0001161970369756,5.2582296656362574e-05,0.0251830161054171,0.5427139167173491,6024.7750000000015,"[0.007914219520186847, 0.019584246097937383, 0.0023498433869897114]","[0.007914219520186847, 0.019584246097937383, 0.0023498433869897114]","[1, 1, 1]","[6025.777, 6026.83, 6026.1416]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 07:00:00-05:00,6025.3,6027.2,6025.05,6026.36,3402.24,48,3,7,0.0001161902864921,5.432498130939713e-05,0.0248698669751301,0.5285264085052335,6025.475,"[0.014689805249232264, 0.011627673311483571, 0.019196295228448998]","[0.014689805249232264, 0.011627673311483571, 0.019196295228448998]","[1, 1, 1]","[6026.535, 6026.7007, 6027.507]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 08:00:00-05:00,6025.65,6027.6,6025.4,6026.78,3443.52,48,3,8,0.0001161835367928,5.601973625415008e-05,0.0245644101685231,0.5147192304686112,6025.475,"[0.0057530648440092935, 0.002858539995193837, 0.0015361329583323893]","[0.0057530648440092935, 0.002858539995193837, 0.0015361329583323893]","[1, 1, 1]","[6026.3467, 6026.1777, 6026.6074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-28 09:00:00-05:00,6026.0,6028.0,6025.75,6027.2,3484.8,48,3,9,0.0001161767878776,5.766787465479461e-05,0.0242663656884876,0.5012821656801146,6026.175,"[0.016425261559644497, 0.015567119547184727, 0.017317759102708923]","[0.016425261559644497, 0.015567119547184727, 0.017317759102708923]","[1, 1, 1]","[6027.34, 6027.638, 6028.0938]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
