Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-28 00:00:00-05:00,6022.85,6024.4,6022.6,6023.42,3113.28,48,3,0,-2.49045326248254e-05,4.1041333075945055e-05,0.4782905982905983,0.6364342751525017,6022.675000000001,"[-0.01660733445261353, -0.03254965147214154, -0.049162891772765754]","[0.01660733445261353, 0.03254965147214154, 0.049162891772765754]","[-1, -1, -1]","[6022.1997, 6021.5894, 6020.9385]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 01:00:00-05:00,6023.2,6024.8,6022.95,6023.84,3154.56,48,3,1,0.0001162308011621,4.310131850296538e-05,0.0268749999999999,0.6197340210387345,6023.375,"[-0.007736561081093074, -0.030114419230060863, -0.052854413931194756]","[0.007736561081093074, 0.030114419230060863, 0.052854413931194756]","[-1, -1, -1]","[6023.084, 6022.086, 6021.066]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 02:00:00-05:00,6023.55,6025.2,6023.3,6024.26,3195.84,48,3,2,0.0001162240467551,4.510468092083355e-05,0.0265186555658341,0.6034815452723538,6023.375,"[-0.02278683660086715, -0.044433046644810556, -0.0557755520076082]","[0.02278683660086715, 0.044433046644810556, 0.0557755520076082]","[-1, -1, -1]","[6022.5273, 6021.573, 6021.2397]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 03:00:00-05:00,6023.9,6025.6,6023.65,6024.68,3237.12,48,3,3,0.0001162172931332,4.705297166637975e-05,0.0261716372489348,0.587664835463493,6024.075000000001,"[-0.009329156637755737, -0.02183268650616412, -0.0318062157154801]","[0.009329156637755737, 0.02183268650616412, 0.0318062157154801]","[-1, -1, -1]","[6023.688, 6023.2847, 6023.0337]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 04:00:00-05:00,6024.25,6026.0,6024.0,6025.1,3278.4,48,3,4,0.0001162105402958,4.894769957403699e-05,0.0258335836587564,0.5722721984277468,6024.075000000001,"[-0.011401820245333528, -0.02007926414326788, 0.016664756319190444]","[0.011401820245333528, 0.02007926414326788, 0.016664756319190444]","[-1, -1, 1]","[6023.913, 6023.74, 6024.296]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[1, 1, 0]"
2024-11-28 05:00:00-05:00,6024.6,6026.4,6024.35,6025.52,3319.68,48,3,5,0.0001162037882436,5.079033214032689e-05,0.0255041518386713,0.5572922519458543,6024.7750000000015,"[0.0018364389953413407, 4.862309757490931e-06, -0.01754543596955741]","[0.0018364389953413407, 4.862309757490931e-06, 0.01754543596955741]","[1, 1, -1]","[6024.8394, 6025.3003, 6024.593]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]"
2024-11-28 06:00:00-05:00,6024.95,6026.8,6024.7,6025.94,3360.96,48,3,6,0.0001161970369756,5.2582296656362574e-05,0.0251830161054171,0.5427139167173491,6024.7750000000015,"[0.004217243332285229, -0.02037351520167345, -0.04779095274643213]","[0.004217243332285229, 0.02037351520167345, 0.04779095274643213]","[1, -1, -1]","[6025.046, 6024.4224, 6023.12]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]"
2024-11-28 07:00:00-05:00,6025.3,6027.2,6025.05,6026.36,3402.24,48,3,7,0.0001161902864921,5.432498130939713e-05,0.0248698669751301,0.5285264085052335,6025.475,"[-0.014555289159669683, -0.04444445164702954, -0.08325092614103667]","[0.014555289159669683, 0.04444445164702954, 0.08325092614103667]","[-1, -1, -1]","[6024.773, 6023.322, 6021.333]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 08:00:00-05:00,6025.65,6027.6,6025.4,6026.78,3443.52,48,3,8,0.0001161835367928,5.601973625415008e-05,0.0245644101685231,0.5147192304686112,6025.475,"[-0.03131774031281115, -0.07129983063961376, -0.11648684188693345]","[0.03131774031281115, 0.07129983063961376, 0.11648684188693345]","[-1, -1, -1]","[6024.113, 6022.053, 6019.6797]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-28 09:00:00-05:00,6026.0,6028.0,6025.75,6027.2,3484.8,48,3,9,0.0001161767878776,5.766787465479461e-05,0.0242663656884876,0.5012821656801146,6026.175,"[-0.016276176707299837, -0.06234139589244227, -0.09946531418770678]","[0.016276176707299837, 0.06234139589244227, 0.09946531418770678]","[-1, -1, -1]","[6025.369, 6022.943, 6021.055]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
